rank,route,city1,city2,total_pax,weight_traffic_within_basket,share_of_national_traffic,tier
30,BOM-COK,Mumbai,Kochi,1170857,0.010000733191958709,0.007072882884391444,Tier 2
31,BBI-DEL,Bhubaneswar,Delhi,1120064,0.009566890937081162,0.0067660538349457,Tier 3
32,CCU-GAU,Kolkata,Guwahati,1105406,0.009441691406201021,0.006677508165133409,Tier 3
33,CCU-MAA,Kolkata,Chennai,1048548,0.00895604568872366,0.006334041819507318,Tier 3
34,DEL-IXB,Delhi,Bagdogra,1015870,0.00867693051133921,0.006136641396657949,Tier 3
35,COK-DEL,Kochi,Delhi,1007567,0.008606011442919384,0.006086484847575437,Tier 3
36,AMD-BLR,Ahmedabad,Bengaluru,980653,0.00837612877310712,0.005923903447839593,Tier 3
37,DEL-IXC,Delhi,Chandigarh,953298,0.008142479355231129,0.005758658066633751,Tier 3
38,BOM-LKO,Mumbai,Lucknow,949271,0.008108083222685464,0.00573433186849389,Tier 3
39,DEL-IXR,Delhi,Ranchi,943367,0.008057654922077172,0.005698667136977191,Tier 3
40,DEL-IDR,Delhi,Indore,924366,0.007895360182941302,0.005583886384343589,Tier 3
41,HYD-VTZ,Hyderabad,Visakhapatnam,923753,0.00789012431771893,0.00558018338969255,Tier 3
42,CJB-MAA,Coimbatore,Chennai,920697,0.007864021864016534,0.005561722783406128,Tier 3
43,BLR-VNS,Bengaluru,Varanasi,882200,0.007535204403224281,0.005329171094856274,Tier 3
44,DEL-IXL,Delhi,Leh,876728,0.007488465978270254,0.005296115977840797,Tier 3
45,DEL-VNS,Delhi,Varanasi,855998,0.007311403195138493,0.0051708907264279985,Tier 3
46,BLR-TRV,Bengaluru,Thiruvananthapuram,822202,0.0070227387562228644,0.004966736717901856,Tier 3
47,BOM-VNS,Mumbai,Varanasi,821064,0.0070130186671151,0.004959862316738915,Tier 3
48,BBI-BLR,Bhubaneswar,Bengaluru,810771,0.006925102254824931,0.00489768462678272,Tier 3
49,DEL-RPR,Delhi,Raipur,778027,0.006645423346437744,0.004699885512828998,Tier 3
50,BLR-GAU,Bengaluru,Guwahati,771957,0.006593577176943785,0.004663218012777108,Tier 3
51,CCU-IXA,Kolkata,Agartala,762840,0.006515705426156893,0.0046081442734075715,Tier 3
52,BLR-LKO,Bengaluru,Lucknow,743982,0.006354632104193615,0.004494227351500068,Tier 3
53,BOM-CJB,Mumbai,Coimbatore,734677,0.0062751545741868125,0.0044380179465605555,Tier 3
54,BLR-JAI,Bengaluru,Jaipur,734649,0.006274915415579591,0.004437848804879921,Tier 3
55,BOM-IDR,Mumbai,Indore,724815,0.006190919496172079,0.004378443830331274,Tier 3
56,HYD-TIR,Hyderabad,Tirupati,724554,0.006188690196297627,0.004376867188236786,Tier 3
57,COK-HYD,Kochi,Hyderabad,719748,0.006147640329643924,0.004347835226910693,Tier 3
58,BLR-IXE,Bengaluru,Mangalore,705754,0.0060281122743064495,0.004263300631239169,Tier 3
59,MAA-PNQ,Chennai,Pune,702010,0.005996133351969483,0.004240683972228579,Tier 3
60,BOM-NAG,Mumbai,Nagpur,690854,0.005900845729749612,0.004173293094044249,Tier 3
61,DEL-IXJ,Delhi,Jammu,680805,0.005815013413893796,0.0041125893530192985,Tier 3
62,BOM-IXC,Mumbai,Chandigarh,680092,0.005808923410788492,0.0041082822809374205,Tier 3
63,COK-MAA,Kochi,Chennai,673846,0.005755573958620573,0.004070551604607255,Tier 3
64,DEL-NAG,Delhi,Nagpur,669474,0.005718231050378795,0.004044141339331001,Tier 3
65,AMD-GOI,Ahmedabad,Goa,666800,0.005695391403389199,0.004027988308830382,Tier 3
66,AMD-PNQ,Ahmedabad,Pune,644110,0.005501587517751975,0.0038909231397731515,Tier 3
67,BOM-IXE,Mumbai,Mangalore,630537,0.005385655382901642,0.003808931710085457,Tier 3
68,CCU-IXB,Kolkata,Bagdogra,625900,0.005346049009270095,0.0037809206396174806,Tier 3
69,BLR-IXB,Bengaluru,Bagdogra,625685,0.005344212612821792,0.0037796218731411782,Tier 3
70,DEL-STV,Delhi,Surat,625381,0.0053416160336576795,0.0037777854777514296,Tier 3
71,HYD-PNQ,Hyderabad,Pune,620603,0.005300805325611198,0.003748922658105971,Tier 3
72,BHO-DEL,Bhopal,Delhi,614756,0.005250863883596176,0.0037136022507248505,Tier 3
73,DEL-UDR,Delhi,Udaipur,604166,0.0051604106817936994,0.0036496304507990652,Tier 3
74,DEL-JAI,Delhi,Jaipur,598337,0.005110622984597605,0.0036144187773554954,Tier 3
75,BBI-BOM,Bhubaneswar,Mumbai,583685,0.004985474701990438,0.0035259093521890546,Tier 3
76,DED-DEL,Dehradun,Delhi,581928,0.004970467499387327,0.003515295711729224,Tier 3
77,BBI-CCU,Bhubaneswar,Kolkata,576078,0.004920500433235817,0.0034799571820251785,Tier 3
78,HYD-JAI,Hyderabad,Jaipur,566528,0.004838930265415831,0.003422267787380112,Tier 3
79,BLR-PAT,Bengaluru,Patna,563343,0.004811725973844453,0.0034030279212079093,Tier 3
80,BDQ-DEL,Vadodara,Delhi,558198,0.0047677805797676125,0.003371948137391274,Tier 3
81,BOM-HSR,Mumbai,Rajkot,554015,0.004732051992124575,0.0033466795784593043,Tier 3
82,BOM-UDR,Mumbai,Udaipur,550234,0.0046997570387709246,0.003323839410799305,Tier 3
83,CCU-IXZ,Kolkata,Port Blair,545424,0.004658673006601905,0.0032947832863759784,Tier 3
84,HYD-VNS,Hyderabad,Varanasi,542587,0.00463444111486313,0.003277645609663093,Tier 3
85,IXZ-MAA,Port Blair,Chennai,528424,0.0045134695665035,0.003192090123133452,Tier 3
86,BLR-VTZ,Bengaluru,Visakhapatnam,521945,0.004458129973068349,0.0031529519463894327,Tier 3
87,GAU-IMF,Guwahati,Imphal,518916,0.004432258136594345,0.003134654441009338,Tier 3
88,CCU-JAI,Kolkata,Jaipur,516730,0.004413586682473456,0.0031214493083712106,Tier 3
89,IXJ-SXR,Jammu,Srinagar,516458,0.004411263427431882,0.0031198062177593302,Tier 3
90,DEL-VTZ,Delhi,Visakhapatnam,511843,0.004371844964134579,0.0030919280443261385,Tier 3
91,AMD-HYD,Ahmedabad,Hyderabad,505243,0.004315471863861081,0.003052058933890805,Tier 3
92,HYD-LKO,Hyderabad,Lucknow,483808,0.004132387408654651,0.002922574936590596,Tier 3
93,BLR-IXC,Bengaluru,Chandigarh,479697,0.004097273800287325,0.00289774131340883,Tier 3
94,BBI-HYD,Bhubaneswar,Hyderabad,475258,0.004059358619663983,0.002870926316253914,Tier 3
95,BLR-IXR,Bengaluru,Ranchi,462545,0.003950772070606864,0.002794129952471429,Tier 3
96,DEL-TRV,Delhi,Thiruvananthapuram,461485,0.003941718209047787,0.0027877267317045424,Tier 3
97,CCU-PNQ,Kolkata,Pune,458720,0.003918101296584723,0.002771023990741861,Tier 3
98,AMD-MAA,Ahmedabad,Chennai,453279,0.003871627654374404,0.002738156137729944,Tier 3
99,BOM-TRV,Mumbai,Thiruvananthapuram,427323,0.0036499276254806277,0.0025813617997815317,Tier 3
100,AMD-CCU,Ahmedabad,Kolkata,425449,0.003633921081554486,0.0025700413887276203,Tier 3
